 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -30 ° ;1.000;1.010;1.060;1.100;1.160;1.220;1.100;1.000
 -35 ° ;1.000;1.060;1.100;1.150;1.250;1.300;1.200;1.100
 -40 ° ;  ;1.060;1.160;1.200;1.350;1.400;1.370;1.270
 -45 ° ;  ;1.060;1.200;1.280;1.460;1.500;1.490;1.460
 -50 ° ;  ;1.070;1.200;1.320;1.580;1.620;1.600;1.590
 -55 ° ;  ;1.050;1.200;1.370;1.650;1.750;1.700;1.700
 -60 ° ;  ;1.010;1.200;1.400;1.700;1.870;2.000;2.000
 -65 ° ;  ;  ;1.200;1.420;1.760;2.000;2.200;2.200
 -70 ° ;  ;  ;1.220;1.450;1.800;2.200;2.600;2.800
 -75 ° ;  ;  ;1.170;1.420;1.850;2.350;3.000;3.600
 -80 ° ;  ;  ;1.120;1.400;1.920;2.750;3.600;4.000
 -85 ° ;  ;  ;1.000;1.350;2.050;3.200;4.000;4.400
 -90 ° ;  ;  ;  ;1.300;2.000;3.700;5.000;5.700
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;  ;  ;  ;  ;  ;  ;  ;  
 0 ° ;  ;  ;  ;  ;  ;  ;  ;  
 -5 ° ;1.070;1.090;1.080;1.050;1.000;  ;  ;  
 -10 ° ;1.150;1.190;1.240;1.240;1.200;1.200;1.150;1.050
 -15 ° ;1.190;1.290;1.340;1.400;1.440;1.440;1.400;1.300
 -20 ° ;1.210;1.340;1.460;1.560;1.650;1.700;1.700;1.600
 -25 ° ;1.220;1.390;1.540;1.700;1.820;1.900;2.000;2.000
 -30 ° ;1.220;1.400;1.610;1.800;2.000;2.100;2.300;2.400
 -35 ° ;1.200;1.430;1.670;1.900;2.200;2.400;2.600;2.700
 -40 ° ;1.180;1.440;1.720;2.000;2.350;2.700;3.000;3.200
 -45 ° ;1.160;1.450;1.780;2.150;2.500;3.000;3.400;3.800
 -50 ° ;1.120;1.430;1.800;2.200;2.700;3.300;3.900;4.600
 -55 ° ;1.070;1.420;1.840;2.300;2.900;3.600;4.500;5.000
 -60 ° ;1.020;1.380;1.860;2.400;3.100;4.000;5.000;6.100
 -65 ° ;  ;1.340;1.860;2.500;3.400;4.400;6.000;7.300
 -70 ° ;  ;1.290;1.860;2.600;3.600;5.100;7.000;9.000
 -75 ° ;  ;1.220;1.830;2.700;3.900;5.500;8.000;11.000
 -80 ° ;  ;1.140;1.800;2.750;4.100;6.000;9.000;14.000
 -85 ° ;  ;1.040;1.750;2.800;4.400;7.000;10.500;16.500
 -90 ° ;  ;  ;1.680;2.850;4.700;7.600;12.000;20.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.020;1.000;1.000;  ;  ;  ;  ;  
 0 ° ;1.120;1.250;1.190;1.200;1.180;1.180;1.150;1.100
 -5 ° ;1.180;1.280;1.340;1.400;1.420;1.450;1.450;1.420
 -10 ° ;1.240;1.350;1.480;1.560;1.650;1.700;1.750;1.780
 -15 ° ;1.270;1.430;1.580;1.740;1.870;2.000;2.100;2.100
 -20 ° ;1.280;1.480;1.680;1.880;2.100;2.300;2.450;2.600
 -25 ° ;1.290;1.520;1.750;2.000;2.300;2.550;2.800;3.000
 -30 ° ;1.290;1.540;1.840;2.150;2.500;2.800;3.300;3.600
 -35 ° ;1.270;1.570;1.900;2.250;2.700;3.100;3.700;4.100
 -40 ° ;1.250;1.580;1.960;2.400;2.900;3.600;4.300;5.000
 -45 ° ;1.230;1.580;2.000;2.550;3.200;4.000;4.900;6.000
 -50 ° ;1.190;1.570;2.100;2.650;3.400;4.400;5.600;7.400
 -55 ° ;1.140;1.560;2.100;2.800;3.700;4.900;6.500;8.400
 -60 ° ;1.080;1.520;2.100;2.900;4.000;5.400;7.300;10.500
 -65 ° ;1.000;1.480;2.150;3.000;4.300;6.100;8.800;12.000
 -70 ° ;  ;1.420;2.150;3.200;4.600;6.800;10.000;15.800
 -75 ° ;  ;1.340;2.100;3.300;5.000;7.600;11.800;18.000
 -80 ° ;  ;1.260;2.050;3.400;5.400;8.600;13.500;23.000
 -85 ° ;  ;1.150;2.050;3.500;5.800;9.700;16.000;28.000
 -90 ° ;  ;1.030;1.980;3.600;6.200;11.000;19.100;34.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;  ;  ;  ;  ;  ;  ;  ;  
 10 ° ;  ;  ;  ;  ;  ;  ;  ;  
 5 ° ;1.080;1.100;1.120;1.140;1.150;1.140;1.100;1.100
 0 ° ;1.160;1.240;1.300;1.340;1.370;1.400;1.400;1.400
 -5 ° ;1.220;1.340;1.450;1.540;1.620;1.680;1.700;1.800
 -10 ° ;1.280;1.420;1.560;1.700;1.850;2.000;2.050;2.100
 -15 ° ;1.300;1.480;1.670;1.880;2.100;2.300;2.450;2.600
 -20 ° ;1.310;1.530;1.770;2.000;2.300;2.600;2.800;3.100
 -25 ° ;1.320;1.580;1.840;2.150;2.500;2.900;3.200;3.700
 -30 ° ;1.320;1.600;1.920;2.300;2.750;3.200;3.800;4.400
 -35 ° ;1.300;1.630;2.000;2.450;2.950;3.500;4.300;5.100
 -40 ° ;1.280;1.640;2.050;2.600;3.200;4.000;4.800;6.000
 -45 ° ;1.260;1.640;2.100;2.700;3.500;4.400;5.700;7.100
 -50 ° ;1.210;1.630;2.200;2.850;3.800;5.000;6.400;8.600
 -55 ° ;1.160;1.620;2.200;3.000;4.100;5.500;7.500;10.500
 -60 ° ;1.100;1.580;2.250;3.100;4.400;6.100;9.000;13.000
 -65 ° ;1.030;1.540;2.250;3.300;4.800;6.900;10.000;15.000
 -70 ° ;  ;1.480;2.250;3.400;5.100;7.700;11.800;19.000
 -75 ° ;  ;1.400;2.250;3.500;5.500;8.800;14.000;23.000
 -80 ° ;  ;1.310;2.200;3.600;6.000;9.800;16.000;28.000
 -85 ° ;  ;1.200;2.150;3.800;6.400;11.000;19.500;35.000
 -90 ° ;  ;1.170;2.100;3.900;7.000;12.500;22.500;42.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;  ;  ;  ;  ;  
 15 ° ;1.010;1.040;1.080;1.120;1.150;1.180;1.220;1.250
 10 ° ;1.130;1.200;1.280;1.340;1.400;1.500;1.550;1.550
 5 ° ;1.210;1.320;1.440;1.540;1.670;1.780;1.900;2.000
 0 ° ;1.270;1.430;1.600;1.760;1.940;2.100;2.300;2.400
 -5 ° ;1.320;1.520;1.720;1.950;2.200;2.450;2.700;3.000
 -10 ° ;1.360;1.580;1.830;2.100;2.450;2.750;3.200;3.600
 -15 ° ;1.380;1.640;1.940;2.300;2.700;3.200;3.700;4.300
 -20 ° ;1.400;1.690;2.050;2.450;2.950;3.500;4.200;5.000
 -25 ° ;1.410;1.740;2.150;2.600;3.200;3.900;4.800;6.000
 -30 ° ;1.400;1.760;2.200;2.800;3.500;4.400;5.600;7.100
 -35 ° ;1.390;1.790;2.300;2.950;3.800;4.900;6.400;8.700
 -40 ° ;1.360;1.800;2.400;3.100;4.200;5.600;7.400;10.200
 -45 ° ;1.330;1.810;2.450;3.300;4.500;6.200;8.600;12.200
 -50 ° ;1.290;1.790;2.500;3.500;4.900;6.900;10.000;15.000
 -55 ° ;1.240;1.770;2.550;3.700;5.300;7.800;11.500;18.000
 -60 ° ;1.160;1.740;2.600;3.800;5.800;8.700;13.600;22.000
 -65 ° ;1.090;1.690;2.600;4.000;6.200;9.800;16.000;26.500
 -70 ° ;1.000;1.630;2.600;4.200;6.700;11.200;18.800;34.000
 -75 ° ;  ;1.550;2.600;4.400;7.300;12.600;22.000;42.000
 -80 ° ;  ;1.450;2.600;4.500;8.000;14.300;26.500;51.000
 -85 ° ;  ;1.340;2.550;4.700;8.700;16.200;31.000;64.000
 -90 ° ;  ;1.200;2.450;4.900;9.400;18.500;37.000;80.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;  
 25 ° ;  ;  ;  ;  ;  ;  ;  ;  
 20 ° ;  ;  ;  ;1.020;1.060;1.120;1.130;1.130
 15 ° ;1.070;1.120;1.190;1.260;1.320;1.400;1.450;1.500
 10 ° ;1.170;1.270;1.380;1.480;1.570;1.700;1.780;1.850
 5 ° ;1.250;1.380;1.530;1.690;1.850;2.050;2.200;2.400
 0 ° ;1.300;1.480;1.680;1.890;2.100;2.350;2.650;2.800
 -5 ° ;1.350;1.560;1.800;2.100;2.400;2.700;3.100;3.500
 -10 ° ;1.390;1.630;1.920;2.250;2.650;3.100;3.600;4.200
 -15 ° ;1.410;1.690;2.000;2.400;2.900;3.400;4.100;5.000
 -20 ° ;1.430;1.740;2.150;2.600;3.200;3.900;4.700;5.800
 -25 ° ;1.430;1.790;2.200;2.800;3.500;4.300;5.400;7.000
 -30 ° ;1.430;1.810;2.300;2.950;3.800;4.900;6.300;8.200
 -35 ° ;1.410;1.840;2.400;3.100;4.100;5.400;7.200;10.000
 -40 ° ;1.380;1.850;2.500;3.300;4.500;6.200;8.400;12.000
 -45 ° ;1.350;1.860;2.550;3.500;4.900;6.900;9.800;14.500
 -50 ° ;1.310;1.840;2.600;3.700;5.300;7.800;11.500;17.500
 -55 ° ;1.260;1.820;2.650;3.900;5.700;8.600;13.400;21.500
 -60 ° ;1.180;1.790;2.700;4.100;6.200;9.800;15.500;26.000
 -65 ° ;1.110;1.740;2.700;4.300;6.800;10.500;18.500;32.000
 -70 ° ;1.020;1.680;2.750;4.500;7.300;12.500;21.500;41.000
 -75 ° ;  ;1.590;2.700;4.700;8.000;14.000;26.000;50.000
 -80 ° ;  ;1.490;2.700;4.800;8.700;16.000;31.000;62.000
 -85 ° ;  ;1.380;2.650;5.000;9.500;18.400;36.000;78.000
 -90 ° ;  ;1.240;2.600;5.200;10.300;21.000;43.000;98.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;  ;1.000
 25 ° ;  ;  ;  ;1.040;1.110;1.180;1.250;1.300
 20 ° ;1.050;1.110;1.190;1.270;1.360;1.490;1.600;1.650
 15 ° ;1.150;1.260;1.370;1.490;1.650;1.800;1.960;2.150
 10 ° ;1.230;1.380;1.540;1.730;1.900;2.150;2.350;2.600
 5 ° ;1.300;1.480;1.690;1.930;2.200;2.500;2.850;3.200
 0 ° ;1.350;1.580;1.830;2.100;2.450;2.850;3.400;3.900
 -5 ° ;1.400;1.650;1.950;2.300;2.750;3.200;3.900;4.700
 -10 ° ;1.430;1.720;2.050;2.500;3.000;3.700;4.500;5.500
 -15 ° ;1.450;1.780;2.200;2.700;3.300;4.100;5.200;6.600
 -20 ° ;1.470;1.830;2.300;2.850;3.600;4.600;6.000;7.800
 -25 ° ;1.480;1.880;2.400;3.100;4.000;5.200;6.800;9.400
 -30 ° ;1.470;1.900;2.500;3.300;4.300;5.800;8.000;11.300
 -35 ° ;1.450;1.930;2.600;3.500;4.700;6.600;9.400;14.500
 -40 ° ;1.420;1.940;2.650;3.700;5.200;7.400;10.800;16.500
 -45 ° ;1.390;1.950;2.750;3.900;5.600;8.400;12.800;20.000
 -50 ° ;1.340;1.930;2.800;4.100;6.100;9.400;14.800;25.000
 -55 ° ;1.290;1.910;2.850;4.300;6.700;10.600;17.500;30.000
 -60 ° ;1.210;1.880;2.900;4.500;7.200;11.900;20.500;37.000
 -65 ° ;1.140;1.820;2.900;4.700;7.900;13.600;24.500;46.000
 -70 ° ;1.050;1.760;2.950;5.000;8.600;15.400;28.500;58.000
 -75 ° ;  ;1.670;2.950;5.200;9.400;17.400;34.000;72.000
 -80 ° ;  ;1.570;2.900;5.400;10.200;19.800;41.000;89.000
 -85 ° ;  ;1.450;2.900;5.600;11.100;23.000;48.000;111.000
 -90 ° ;  ;1.300;2.800;5.900;12.200;26.000;58.000;140.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;1.040
 35 ° ;  ;  ;  ;  ;1.020;1.120;1.240;1.350
 30 ° ;  ;  ;1.070;1.160;1.280;1.420;1.560;1.750
 25 ° ;1.050;1.150;1.260;1.400;1.560;1.740;1.950;2.200
 20 ° ;1.160;1.290;1.450;1.620;1.840;2.100;2.400;2.700
 15 ° ;1.240;1.420;1.610;1.850;2.150;2.450;2.900;3.400
 10 ° ;1.310;1.520;1.760;2.050;2.400;2.850;3.400;4.100
 5 ° ;1.370;1.610;1.900;2.250;2.700;3.300;4.000;4.900
 0 ° ;1.420;1.700;2.050;2.450;3.000;3.700;4.600;5.800
 -5 ° ;1.460;1.780;2.150;2.550;3.300;4.200;5.300;7.000
 -10 ° ;1.490;1.840;2.300;2.900;3.600;4.700;6.200;8.300
 -15 ° ;1.520;1.910;2.400;3.100;4.000;5.300;7.100;10.000
 -20 ° ;1.530;1.960;2.550;3.300;4.400;6.000;8.300;12.000
 -25 ° ;1.540;2.000;2.650;3.500;4.800;6.700;9.600;14.500
 -30 ° ;1.530;2.050;2.750;3.800;5.300;7.600;11.200;17.500
 -35 ° ;1.510;2.050;2.850;4.000;5.700;8.500;13.100;21.500
 -40 ° ;1.480;2.050;2.950;4.200;6.300;9.600;15.400;26.000
 -45 ° ;1.440;2.100;3.000;4.500;6.900;11.000;18.000;32.000
 -50 ° ;1.390;2.050;3.100;4.700;7.500;12.200;21.500;40.000
 -55 ° ;1.340;2.050;3.100;5.000;8.200;14.000;25.000;50.000
 -60 ° ;1.250;2.000;3.200;5.300;8.900;15.800;30.000;60.000
 -65 ° ;1.180;1.940;3.200;5.500;9.700;18.000;35.000;76.000
 -70 ° ;1.090;1.870;3.300;5.800;10.600;20.500;42.000;95.000
 -75 ° ;  ;1.780;3.200;6.100;11.600;23.500;50.000;118.000
 -80 ° ;  ;1.670;3.200;6.300;12.700;26.500;60.000;150.000
 -85 ° ;  ;1.550;3.200;6.600;14.000;31.000;72.000;188.000
 -90 ° ;  ;1.400;3.100;6.900;15.300;35.000;86.000;240.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;1.010
