 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 45 ° ;  ;  ;  ;  ;  ;1.040;1.180;1.340
 40 ° ;  ;  ;  ;1.040;1.160;1.320;1.500;1.720
 35 ° ;  ;1.010;1.120;1.270;1.440;1.650;1.900;2.200
 30 ° ;1.040;1.160;1.320;1.490;1.720;2.000;2.300;2.750
 25 ° ;1.140;1.310;1.500;1.720;2.000;2.350;2.800;3.400
 20 ° ;1.240;1.430;1.660;1.950;2.300;2.750;3.300;4.100
 15 ° ;1.310;1.540;1.810;2.150;2.600;3.200;3.900;4.900
 10 ° ;1.370;1.630;1.960;2.400;2.900;3.600;4.600;5.900
 5 ° ;1.430;1.720;2.100;2.600;3.200;4.100;5.300;7.100
 0 ° ;1.470;1.810;2.250;2.800;3.500;4.600;6.200;8.400
 -5 ° ;1.520;1.890;2.400;3.000;3.900;5.200;7.200;10.200
 -10 ° ;1.540;1.910;2.500;3.300;4.300;5.900;8.400;12.400
 -15 ° ;1.570;2.000;2.650;3.500;4.800;6.700;9.700;15.000
 -20 ° ;1.580;2.050;2.750;3.700;5.200;7.500;11.200;18.000
 -25 ° ;1.580;2.100;2.900;4.000;5.800;8.500;13.200;22.000
 -30 ° ;1.580;2.150;3.000;4.300;6.300;9.600;15.400;26.500
 -35 ° ;1.550;2.200;3.100;4.500;6.900;10.900;18.300;33.000
 -40 ° ;1.530;2.200;3.200;4.800;7.500;12.300;21.500;41.000
 -45 ° ;1.490;2.200;3.300;5.100;8.200;14.000;25.500;51.000
 -50 ° ;1.430;2.200;3.400;5.400;9.000;15.800;30.000;63.000
 -55 ° ;1.370;2.150;3.400;5.700;9.800;18.000;36.000;77.000
 -60 ° ;1.280;2.100;3.500;6.000;10.700;20.500;42.000;97.000
 -65 ° ;1.210;2.050;3.500;6.300;11.800;23.500;51.000;122.000
 -70 ° ;1.120;2.000;3.600;6.600;12.900;26.500;60.000;154.000
 -75 ° ;  ;1.890;3.600;7.000;14.200;30.000;72.000;192.000
 -80 ° ;  ;1.760;3.600;7.300;15.600;35.000;86.000;240.000
 -85 ° ;  ;1.640;3.500;7.600;17.100;41.000;104.000;300.000
 -90 ° ;  ;1.480;3.500;8.000;18.800;47.000;126.000;380.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;1.020;1.220;1.420
 45 ° ;  ;  ;  ;1.000;1.160;1.330;1.550;1.840
 40 ° ;  ;  ;1.080;1.240;1.440;1.650;1.950;2.300
 35 ° ;  ;1.120;1.270;1.470;1.720;2.000;2.400;2.900
 30 ° ;1.100;1.260;1.450;1.700;2.000;2.400;2.900;3.500
 25 ° ;1.190;1.390;1.630;1.910;2.300;2.800;3.400;4.300
 20 ° ;1.280;1.500;1.780;2.150;2.600;3.200;4.000;5.200
 15 ° ;1.350;1.610;1.930;2.350;2.900;3.700;4.700;6.200
 10 ° ;1.410;1.700;2.100;2.550;3.200;4.100;5.500;7.400
 5 ° ;1.460;1.790;2.200;2.800;3.600;4.700;6.300;9.000
 0 ° ;1.510;1.880;2.350;3.000;4.000;5.300;7.400;10.800
 -5 ° ;1.550;1.960;2.500;3.300;4.400;6.000;8.700;13.100
 -10 ° ;1.580;2.000;2.650;3.500;4.800;6.700;10.200;15.800
 -15 ° ;1.600;2.100;2.800;3.800;5.300;7.700;11.800;19.000
 -20 ° ;1.610;2.150;2.900;4.000;5.800;8.700;13.800;23.500
 -25 ° ;1.610;2.200;3.000;4.300;6.400;9.800;16.200;29.000
 -30 ° ;1.610;2.200;3.200;4.600;7.000;11.100;19.000;36.000
 -35 ° ;1.580;2.250;3.300;4.900;7.700;12.600;22.400;44.000
 -40 ° ;1.550;2.250;3.400;5.200;8.400;14.300;26.500;54.000
 -45 ° ;1.510;2.250;3.500;5.500;9.200;16.200;31.000;67.000
 -50 ° ;1.460;2.250;3.600;5.800;10.000;18.500;37.000;84.000
 -55 ° ;1.400;2.200;3.600;6.100;11.100;21.000;44.000;105.000
 -60 ° ;1.300;2.150;3.700;6.400;12.000;24.000;53.000;130.000
 -65 ° ;1.220;2.100;3.700;6.800;13.300;27.500;63.000;164.000
 -70 ° ;1.140;2.050;3.700;7.200;14.600;31.000;76.000;205.000
 -75 ° ;  ;1.940;3.700;7.500;16.000;36.000;91.000;260.000
 -80 ° ;  ;1.820;3.700;7.900;17.500;42.000;109.000;320.000
 -85 ° ;  ;1.690;3.700;8.300;19.400;48.000;130.000;410.000
 -90 ° ;  ;1.530;3.700;8.700;21.500;55.000;158.000;510.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;1.020;1.200;1.400;1.660
 45 ° ;  ;  ;  ;1.110;1.300;1.500;1.780;2.100
 40 ° ;  ;1.010;1.160;1.340;1.570;1.840;2.200;2.650
 35 ° ;1.020;1.170;1.350;1.570;1.860;2.200;2.700;3.300
 30 ° ;1.130;1.300;1.520;1.800;2.150;2.600;3.200;4.000
 25 ° ;1.210;1.420;1.690;2.000;2.450;3.000;3.800;4.800
 20 ° ;1.300;1.530;1.840;2.250;2.750;3.400;4.400;5.800
 15 ° ;1.360;1.640;1.990;2.450;3.100;3.900;5.200;6.900
 10 ° ;1.420;1.740;2.150;2.700;3.400;4.400;6.000;8.300
 5 ° ;1.480;1.830;2.300;2.900;3.800;5.000;7.000;10.000
 0 ° ;1.520;1.910;2.450;3.200;4.200;5.700;8.100;12.200
 -5 ° ;1.560;2.000;2.600;3.400;4.600;6.500;9.500;14.700
 -10 ° ;1.590;2.050;2.700;3.700;5.100;7.300;11.100;17.900
 -15 ° ;1.620;2.150;2.850;3.900;5.600;8.300;13.000;21.500
 -20 ° ;1.630;2.200;3.000;4.200;6.100;9.400;15.200;27.000
 -25 ° ;1.630;2.250;3.100;4.500;6.700;10.700;17.800;33.000
 -30 ° ;1.620;2.250;3.200;4.800;7.400;12.000;21.000;41.000
 -35 ° ;1.600;2.300;3.400;5.100;8.100;13.600;25.000;50.000
 -40 ° ;1.570;2.300;3.500;5.400;8.900;15.600;29.500;62.000
 -45 ° ;1.530;2.300;3.600;5.800;9.800;17.600;35.000;77.000
 -50 ° ;1.470;2.300;3.600;6.000;10.600;20.000;42.000;97.000
 -55 ° ;1.410;2.250;3.700;6.400;11.700;23.000;49.000;120.000
 -60 ° ;1.310;2.200;3.800;6.700;12.700;26.000;59.000;150.000
 -65 ° ;1.230;2.150;3.800;7.100;14.100;30.000;71.000;190.000
 -70 ° ;1.140;2.050;3.800;7.500;15.400;34.000;84.000;235.000
 -75 ° ;1.000;1.970;3.800;7.900;16.900;39.000;102.000;300.000
 -80 ° ;  ;1.850;3.900;8.200;18.600;45.000;121.000;380.000
 -85 ° ;  ;1.710;3.800;8.700;20.500;52.000;146.000;470.000
 -90 ° ;  ;1.550;3.800;9.100;22.500;60.000;176.000;600.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.000;1.180;1.380;1.660;2.000;2.500
 45 ° ;  ;1.010;1.190;1.400;1.670;2.000;2.500;3.100
 40 ° ;  ;1.150;1.360;1.620;1.950;2.400;2.950;3.800
 35 ° ;1.000;1.290;1.530;1.830;2.250;2.750;3.500;4.600
 30 ° ;1.190;1.400;1.700;2.050;2.550;3.200;4.100;5.500
 25 ° ;1.260;1.520;1.850;2.250;2.850;3.600;4.800;6.700
 20 ° ;1.350;1.620;2.000;2.500;3.200;4.200;5.600;8.000
 15 ° ;1.410;1.730;2.150;2.750;3.500;4.700;6.600;9.600
 10 ° ;1.470;1.830;2.300;3.000;3.900;5.400;7.700;11.700
 5 ° ;1.520;1.920;2.500;3.200;4.400;6.100;9.000;14.100
 0 ° ;1.570;2.000;2.600;3.500;4.800;6.900;10.600;17.300
 -5 ° ;1.610;2.100;2.750;3.800;5.300;7.900;12.400;21.000
 -10 ° ;1.640;2.150;2.900;4.100;5.900;8.900;14.500;26.000
 -15 ° ;1.660;2.250;3.100;4.300;6.500;10.200;17.100;32.000
 -20 ° ;1.670;2.300;3.200;4.700;7.100;11.400;20.000;39.000
 -25 ° ;1.670;2.350;3.300;5.000;7.800;13.100;24.000;49.000
 -30 ° ;1.660;2.350;3.500;5.300;8.600;14.800;28.000;60.000
 -35 ° ;1.630;2.400;3.600;5.700;9.400;16.900;33.000;75.000
 -40 ° ;1.600;2.400;3.700;6.000;10.300;19.300;40.000;93.000
 -45 ° ;1.560;2.400;3.800;6.400;11.400;22.000;47.000;116.000
 -50 ° ;1.500;2.400;3.900;6.700;12.400;25.000;56.000;143.000
 -55 ° ;1.440;2.350;4.000;7.100;13.700;28.500;67.000;182.000
 -60 ° ;1.330;2.300;4.000;7.500;15.000;33.000;80.000;230.000
 -65 ° ;1.250;2.250;4.100;7.900;16.500;38.000;97.000;285.000
 -70 ° ;1.160;2.150;4.100;8.400;18.100;43.000;116.000;360.000
 -75 ° ;1.010;2.050;4.100;8.800;20.000;50.000;138.000;450.000
 -80 ° ;  ;1.920;4.200;9.300;22.000;57.000;167.000;580.000
 -85 ° ;  ;1.780;4.100;9.800;24.000;66.000;200.000;720.000
 -90 ° ;  ;1.620;4.000;10.200;27.000;76.000;240.000;900.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.060;1.260;1.500;1.800;2.200;2.800
 45 ° ;  ;1.050;1.240;1.480;1.780;2.200;2.700;3.500
 40 ° ;1.010;1.190;1.410;1.690;2.050;2.550;3.200;4.200
 35 ° ;1.110;1.320;1.580;1.900;2.350;2.950;3.800;5.100
 30 ° ;1.200;1.430;1.740;2.100;2.700;3.400;4.400;6.100
 25 ° ;1.280;1.550;1.890;2.350;2.950;3.900;5.200;7.400
 20 ° ;1.360;1.650;2.050;2.600;3.300;4.400;6.000;8.900
 15 ° ;1.420;1.760;2.200;2.800;3.700;5.000;7.100;10.800
 10 ° ;1.480;1.860;2.350;3.100;4.100;5.700;8.300;13.000
 5 ° ;1.540;1.950;2.500;3.300;4.600;6.500;9.800;15.900
 0 ° ;1.580;2.050;2.700;3.600;5.000;7.300;11.400;19.400
 -5 ° ;1.620;2.100;2.800;3.900;5.600;8.400;13.300;24.000
 -10 ° ;1.650;2.200;3.000;4.200;6.200;9.500;15.700;29.000
 -15 ° ;1.670;2.250;3.100;4.500;6.800;10.800;18.500;36.000
 -20 ° ;1.680;2.300;3.300;4.800;7.400;12.200;22.000;44.000
 -25 ° ;1.680;2.350;3.400;5.100;8.200;14.000;26.000;55.000
 -30 ° ;1.670;2.400;3.500;5.500;9.000;15.900;31.000;68.000
 -35 ° ;1.640;2.400;3.700;5.800;9.900;18.100;36.000;85.000
 -40 ° ;1.610;2.400;3.800;6.200;10.800;20.500;43.000;106.000
 -45 ° ;1.570;2.400;3.900;6.600;11.900;23.500;51.000;132.000
 -50 ° ;1.510;2.400;4.000;6.900;13.000;26.500;61.000;165.000
 -55 ° ;1.440;2.400;4.100;7.300;14.400;31.000;73.000;210.000
 -60 ° ;1.330;2.300;4.100;7.700;15.700;35.000;88.000;260.000
 -65 ° ;1.250;2.250;4.200;8.200;17.400;40.000;106.000;330.000
 -70 ° ;1.170;2.200;4.200;8.600;19.000;46.000;127.000;410.000
 -75 ° ;1.020;2.100;4.200;9.100;21.000;53.000;152.000;520.000
 -80 ° ;  ;1.950;4.200;9.600;23.000;61.000;183.000;650.000
 -85 ° ;  ;1.810;4.200;10.100;25.500;71.000;220.000;820.000
 -90 ° ;  ;1.640;4.200;10.600;28.500;82.000;265.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.180;1.420;1.720;2.100;2.700;3.500
 45 ° ;  ;1.130;1.350;1.630;2.000;2.500;3.200;4.200
 40 ° ;1.050;1.260;1.520;1.840;2.300;2.900;3.800;5.100
 35 ° ;1.140;1.370;1.670;2.050;2.600;3.300;4.400;6.200
 30 ° ;1.230;1.490;1.830;2.250;2.900;3.800;5.200;7.400
 25 ° ;1.310;1.600;1.990;2.500;3.200;4.400;6.100;9.100
 20 ° ;1.390;1.710;2.150;2.750;3.600;5.000;7.100;11.000
 15 ° ;1.450;1.810;2.300;3.000;4.000;5.700;8.400;13.400
 10 ° ;1.510;1.910;2.500;3.300;4.500;6.400;9.800;16.100
 5 ° ;1.560;2.000;2.650;3.600;5.000;7.300;11.600;19.800
 0 ° ;1.610;2.100;2.800;3.900;5.500;8.300;13.500;24.500
 -5 ° ;1.640;2.200;2.950;4.100;6.100;9.500;15.900;30.000
 -10 ° ;1.680;2.250;3.100;4.500;6.100;10.700;18.800;37.000
 -15 ° ;1.700;2.350;3.300;4.800;6.700;12.200;22.000;46.000
 -20 ° ;1.700;2.400;3.400;5.100;8.100;13.900;26.500;56.000
 -25 ° ;1.700;2.400;3.600;5.500;9.000;15.900;31.000;70.000
 -30 ° ;1.690;2.450;3.700;5.800;9.800;18.000;37.000;87.000
 -35 ° ;1.660;2.500;3.800;6.200;10.800;20.500;44.000;109.000
 -40 ° ;1.630;2.500;3.900;6.600;11.900;23.500;52.000;136.000
 -45 ° ;1.590;2.500;4.000;7.000;13.100;27.000;63.000;170.000
 -50 ° ;1.530;2.500;4.100;7.400;14.300;31.000;74.000;215.000
 -55 ° ;1.460;2.450;4.200;7.800;15.800;35.000;89.000;265.000
 -60 ° ;1.340;2.400;4.300;8.300;17.300;40.000;107.000;340.000
 -65 ° ;1.270;2.300;4.300;8.800;19.100;46.000;129.000;420.000
 -70 ° ;1.180;2.250;4.400;9.200;21.000;54.000;154.000;530.000
 -75 ° ;1.020;2.100;4.400;9.700;23.500;62.000;185.000;670.000
 -80 ° ;  ;1.990;4.400;10.300;25.500;71.000;225.000;840.000
 -85 ° ;  ;1.850;4.400;10.800;28.500;82.000;270.000;  
 -90 ° ;  ;1.680;4.300;11.400;31.000;94.000;320.000;  
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.090;1.320;1.610;1.980;2.600;3.300;4.500
 45 ° ;1.000;1.210;1.470;1.800;2.250;2.900;3.900;5.500
 40 ° ;1.100;1.320;1.620;2.000;2.550;3.400;4.600;6.600
 35 ° ;1.180;1.440;1.790;2.250;2.900;3.900;5.400;8.100
 30 ° ;1.270;1.540;1.920;2.500;3.200;4.500;6.400;9.900
 25 ° ;1.350;1.670;2.100;2.750;3.600;5.100;7.500;12.000
 20 ° ;1.420;1.780;2.300;3.000;4.100;5.800;8.900;14.200
 15 ° ;1.480;1.890;2.450;3.300;4.600;6.600;10.400;17.900
 10 ° ;1.540;2.000;2.650;3.600;5.100;7.600;12.300;22.000
 5 ° ;1.600;2.100;2.800;3.900;5.600;8.600;14.500;27.000
 0 ° ;1.640;2.200;3.000;4.200;6.200;9.900;17.000;33.000
 -5 ° ;1.680;2.250;3.100;4.500;6.900;11.200;20.000;41.000
 -10 ° ;1.720;2.350;3.300;4.800;7.600;12.700;24.000;51.000
 -15 ° ;1.740;2.400;3.500;5.200;8.300;14.500;28.500;63.000
 -20 ° ;1.740;2.450;3.600;5.600;9.200;16.600;34.000;78.000
 -25 ° ;1.730;2.500;3.800;6.000;10.100;18.900;40.000;99.000
 -30 ° ;1.710;2.550;3.900;6.300;11.100;22.500;47.000;123.000
 -35 ° ;1.690;2.550;4.000;6.800;12.200;24.500;56.000;153.000
 -40 ° ;1.660;2.550;4.200;7.200;13.500;28.000;68.000;192.000
 -45 ° ;1.610;2.550;4.300;7.600;14.900;32.000;80.000;240.000
 -50 ° ;1.560;2.550;4.400;8.100;16.300;37.000;96.000;310.000
 -55 ° ;1.480;2.500;4.500;8.500;18.000;42.000;115.000;380.000
 -60 ° ;1.360;2.450;4.500;9.100;19.700;49.000;139.000;480.000
 -65 ° ;1.270;2.400;4.600;9.600;22.000;56.000;167.000;610.000
 -70 ° ;1.180;2.300;4.700;10.100;24.000;65.000;200.000;760.000
 -75 ° ;1.020;2.200;4.700;10.700;26.500;74.000;240.000;950.000
 -80 ° ;  ;2.050;4.700;11.300;29.500;86.000;290.000;  
 -85 ° ;  ;1.910;4.600;11.900;33.000;100.000;350.000;  
 -90 ° ;  ;1.730;4.600;12.500;36.000;115.000;420.000;  
